size,count,time
5000,12497500,0.129963
6000,17997000,0.168991
7000,24496500,0.204632
8000,31996000,0.278322
9000,40495500,0.331124
10000,49995000,0.423555
11000,60494500,0.492142
12000,71994000,0.588511
13000,84493500,0.706422
14000,97993000,0.810873
15000,112492500,0.929008
16000,127992000,1.088998
17000,144491500,1.192543
18000,161991000,1.345029
19000,180490500,1.597935
20000,199990000,1.728858
21000,220489500,1.946655
22000,241989000,2.104346
23000,264488500,2.256448
24000,287988000,2.380825
25000,312487500,2.863961
26000,337987000,2.884741
27000,364486500,3.082012
28000,391986000,3.524782
29000,420485500,3.619823
30000,449985000,3.702496
